Sample,Na2O,MgO,Al2O3,SiO2,P2O5,S,K2O,CaO,TiO2,Fe2O3,Rb,Sr,Y,Zr,Nb,Ba,Th,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Sn,V,Cl,Mn,LOI,initial weight,final weight,Weight
N11,0.0095,0.0367,0.1781,0.5164,0.0004474,0,0.0166,0.0269,0.0085,0.0748,0.0000911,0.0000937,0.0000335,0.0002827,0.0000171,0.00149,0.0000071,0.0000987,0.0000339,0.0000659,0.0000354,0.0000849,0.0000225,0.0000093,0.0000325,0.0000029,0.0000398,0.000051,0.0007794,13.97,13.2,12.976,0.224
N12,0.004,0.0376,0.1465,0.5077,0.0009827,0.0001,0.0156,0.071,0.0068,0.063,0.0000787,0.0000606,0.0000223,0.0001773,0.0000267,0.001633,0.0000077,0.0001171,0.0000045,0.000098,0.0000483,0.0000856,0.00002,0.0000078,0.0000246,0.0000097,0.0000905,0.0000512,0.001213,15.05,13.2,12.963,0.237
N13,0.0046,0.018,0.1308,0.4997,0.0006993,0.0001,0.0278,0.1124,0.0062,0.0579,0.0001357,0.0000688,0.0000221,0.0001536,0.0000293,0.001163,0,0.0003433,0.0000391,0.0002096,0.0000393,0.0000971,0.0000179,0.0000249,0,0.0000047,0.000063,0.0001604,0.0006378,15.22,13.2,12.961,0.239
N14A,0.0041,0.0415,0.1015,0.3856,0.0004315,0.0003,0.0122,0.1932,0.0045,0.0426,0.0000679,0.0000759,0.0000211,0.0001278,0.000031,0.001024,0.0000044,0.0002086,0.0000033,0.0001418,0.000039,0.0000581,0.0000122,0.0000043,0.0000038,0.0000046,0.0000456,0.0000819,0.0005074,23.3,13.2,12.864,0.336
N14B,0.0034,0.0299,0.0769,0.3014,0.000099,0,0.0087,0.2944,0.0036,0.0309,0.0000398,0.000095,0.000017,0.0001006,0.0000278,0.0011,0.0000062,0.0001335,0,0.0000879,0.0000297,0.0000318,0.0000097,0.0000042,0.000009,0.0000051,0.0000293,0.0000729,0.0004088,27.72,13.2,12.811,0.389
N15,0.0143,0.0166,0.1599,0.655,0.0001871,0.0002,0.0365,0.0076,0.0068,0.0506,0.0001628,0.0000641,0.0000372,0.0002452,0.0000202,0.001404,0.0000115,0.0000349,0,0.000013,0.0000477,0.0000657,0.0000244,0.0000022,0.0000169,0.0000161,0.0000541,0.0001283,0.0003443,5.38,13.2,13.079,0.121
N16,0.0021,0.1837,0.0029,0.0445,0,0.0015,0.0009,0.3652,0.0003,0.0032,0.0000093,0.0001319,0.0000116,0.0000281,0.0000281,0.0009287,0,0.0000268,0,0.0000051,0.0000099,0,0.0000048,0.0000015,0.0000016,0.0000122,0.0000222,0.0001482,0.00032,46.13,13.2,12.59,0.61
N17,0.006,0.0358,0.0947,0.3343,0.0002184,0.0002,0.0196,0.2247,0.0042,0.0366,0.0000835,0.0001455,0.0000174,0.0001203,0.0000306,0.0009086,0.0000023,0.0001397,0,0.0000976,0.0000349,0.0000352,0.0000126,0.0000045,0,0.0000039,0.0000763,0.0005073,0.0004535,24.97,13.2,12.844,0.356
N18,0.0054,0.0229,0.0754,0.2776,0.0000271,0,0.0151,0.3193,0.0033,0.028,0.000046,0.0001248,0.0000159,0.0000976,0.0000329,0.001116,0.54 PPM,0.0000721,0,0.0000647,0.0000298,0.0000285,0.0000129,0.0000043,0.0000028,0.0000116,0.0000543,0.0000707,0.0003132,27.97,13.2,12.808,0.392
N19,0.0302,0.0135,0.1655,0.6233,0.001154,0,0.0415,0.0185,0.0082,0.0432,0.0001697,0.00038,0.0000345,0.0003755,0.0000349,0.001183,0.0000286,0,,0.0000119,0.0000173,0.0000552,0.0000228,0.0000092,0.0000519,0.0000185,0.0000198,0.0000543,0.0005416,5.38,13.2,13.079,0.121
N20,0.0059,0.02,0.1678,0.56,0.0004611,0,0.0191,0.0242,0.0073,0.0742,0.0000936,0.0000697,0.0000434,0.0002008,0.0000169,0.001561,0.0000082,0.0000766,0,0.0000508,0.0000486,0.0000802,0.0000197,0.0000103,0.0000204,0.0000157,0.000048,0.0000523,0.001173,12.22,13.2,12.997,0.203
N21,0.0067,0.0165,0.1706,0.5783,0.0002347,0.0001,0.0262,0.0097,0.0086,0.0859,0.0001065,0.0000662,0.0000332,0.000225,0.0000192,0.001537,0,0.0000836,0.0000057,0.0000492,0.0000329,0.0001733,0.0000169,0.0000492,0,0.0000271,0.0000854,0.0000514,0.0006096,9.63,13.2,13.03,0.17
N22,0.0036,0.0138,0.1221,0.3721,0.0002262,0,0.0115,0.1944,0.0065,0.0491,0.0000575,0.0000564,0.0000211,0.0001921,0.000029,0.001603,0.0000066,0.0000845,0,0.0000484,0.0000281,0.0000403,0.0000161,0.0000086,0.0000151,0.0000294,0.0000516,0.0000609,0.0004105,23.72,13.2,12.859,0.341
N23,0.0077,0.0742,0.1556,0.5231,0.0003242,0,0.0168,0.0046,0.0072,0.0935,0.0000764,0.0000337,0.0000287,0.0001528,0.0000237,0.00125,0.0000127,0.0008788,0.0000239,0.0006196,0.0000908,0.0001026,0.0000185,0.0000213,0,0.0000158,0.0000761,0.0000537,0.002659,11.55,13.2,13.005,0.195
N24,0.0326,0.0345,0.1721,0.5513,0.0007386,0.0002,0.0194,0.0141,0.0086,0.0713,0.0000835,0.0000392,0.0000318,0.0002749,0.0000234,0.001365,0.0000088,0.0002859,0,0.0001723,0.0000702,0.0000731,0.0000189,0.0000075,0.000017,0.0000172,0.0000657,0.0000652,0.0008874,8.88,13.2,8.88,4.32
N25,0.0128,0.01,0.0515,0.7806,0.000152,0.0001,0.0063,0.0625,0.0021,0.0138,0.0000354,0.0001786,0.0000168,0.0000721,0.000027,0.0006029,0.0000057,0.0000365,0,0.0000205,0.0000197,0.0000087,0.0000087,0.0000047,0.0000011,0.000007,0.000053,0.0002538,0.0001424,7.47,13.2,13.054,0.146
N26,0.0051,0.019,0.191,0.3983,0.0000815,0,0.0257,0.0801,0.0057,0.0873,0.0001107,0.0000496,0.000027,0.0001192,0.0000229,0.001273,0.000002,0.0002843,0.0000167,0.0001754,0.0000583,0.0000498,0.0000191,0.0000508,0,0.0000057,0.0000854,0.000088,0.0008519,19.22,13.2,12.913,0.287
N27,0.0151,0.0267,0.1374,0.5112,0.0001795,0,0.024,0.0908,0.0069,0.0603,0.0000926,0.0000344,0.0000197,0.0001618,0.0000213,0.0011,0.0000016,0.0002078,0,0.0001541,0.0000453,0.0000663,0.0000137,0.0000119,0,0.0000142,0.0000482,0.0000621,0.000501,12.97,13.2,12.988,0.212
